id_player,total_attempts,attempts_on_target,attempts_off_target,blocked
250016833,20,12,6,2
250103758,21,10,5,6
250121533,17,10,6,1
250076574,20,9,5,6
250105927,15,8,3,4
250101534,17,7,6,4
250138382,14,7,1,6
250096849,12,7,2,3
250127111,11,7,2,2
250080553,10,7,2,1
250088061,17,6,7,4
250099180,13,6,5,2
250002096,13,6,4,3
250118964,12,6,5,1
250124460,12,6,3,3
250139445,10,6,3,1
250134320,9,6,2,1
250102035,8,6,1,1
250041770,7,6,1,0
250112880,15,5,8,2
250052469,13,5,6,2
250130406,13,5,5,3
250194673,13,5,4,4
250176450,11,5,2,4
250124430,11,5,1,5
250144965,9,5,2,2
250064274,8,5,2,1
250146674,8,5,1,2
250121294,8,5,1,2
250106939,8,5,1,2
250127347,7,5,2,0
250096698,7,5,1,1
250171301,12,4,4,4
250171184,12,4,1,7
250160436,10,4,3,3
250141861,9,4,5,0
250183519,9,4,4,1
250153402,9,4,2,3
250112186,9,4,2,3
250078012,8,4,1,3
250130414,8,4,0,4
250091165,7,4,2,1
250134138,6,4,2,0
250113373,6,4,2,0
250132811,5,4,0,1
250118281,5,4,0,1
250091187,5,4,0,1
250066886,16,3,7,6
250132407,9,3,6,0
250126449,9,3,5,1
250099258,8,3,4,1
250134304,8,3,3,2
250118504,8,3,3,2
250005335,8,3,3,2
250105717,8,3,2,3
250081223,8,3,1,4
250169706,7,3,4,0
250156459,7,3,3,1
250099671,7,3,2,2
1905153,7,3,2,2
250173126,6,3,3,0
250070417,6,3,2,1
250049573,6,3,2,1
250159544,6,3,2,1
250147342,6,3,2,1
250135339,6,3,2,1
250061361,6,3,2,1
250196588,6,3,1,2
250134536,6,3,1,2
250079383,6,3,0,3
250117705,5,3,2,0
250113211,5,3,2,0
250102868,5,3,2,0
250081555,5,3,2,0
250129746,5,3,1,1
250121584,5,3,1,1
250112217,5,3,1,1
250104066,5,3,1,1
250200298,5,3,0,2
250089228,5,3,0,2
250106148,4,3,1,0
250139207,3,3,0,0
250134856,3,3,0,0
250063984,3,3,0,0
250020850,3,3,0,0
1903428,3,3,0,0
250096954,10,2,3,5
