id_player,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted
250174126,41,4,1,3,10
250188247,33,4,1,3,10
250139010,32,3,0,3,10
250132323,31,5,1,4,11
250188511,31,4,4,0,12
250187672,31,4,1,3,12
250121218,31,2,0,2,15
250158476,31,1,1,0,18
250162325,30,4,3,1,8
250068808,29,9,3,6,10
250014709,29,6,3,3,4
250000679,28,5,3,2,25
250131901,28,1,1,0,19
250016616,27,7,5,2,25
250087118,27,6,4,2,14
250135672,27,5,2,3,17
250163454,27,4,1,3,13
250089225,26,13,6,7,5
250058258,26,8,3,5,4
103335,26,7,1,6,6
250019573,26,6,2,4,6
250055663,26,6,1,5,10
250113001,26,5,2,3,4
250127492,26,1,0,1,18
250025791,25,15,7,8,7
250079545,25,9,5,4,7
250063505,25,6,3,3,18
250091013,25,5,1,4,16
250085369,25,4,1,3,4
250174149,25,1,1,0,9
250158901,25,1,0,1,16
104733,24,5,4,1,19
250052554,23,12,5,7,4
250169730,23,9,4,5,9
250131541,23,5,3,2,7
250028715,23,3,1,2,13
250090766,22,14,9,5,12
250160568,22,10,4,6,12
250153945,22,9,3,6,7
250196586,22,8,8,0,26
250123677,22,7,3,4,9
250116734,22,6,4,2,12
250101557,22,6,4,2,5
250148830,22,5,3,2,26
250017040,22,4,3,1,25
250079677,22,4,3,1,4
250088061,22,4,1,3,4
250096309,22,3,1,2,9
250076126,22,3,1,2,7
250064064,22,0,0,0,8
250169764,21,18,6,12,6
250102866,21,11,7,4,10
250196709,21,10,4,6,5
250028211,21,5,2,3,12
250124068,21,5,1,4,13
250014042,21,4,2,2,6
250129446,21,3,2,1,18
50327420,21,3,2,1,13
250076357,21,2,1,1,1
250132401,21,0,0,0,16
250065419,20,10,4,6,10
250102868,20,9,4,5,15
250091290,20,8,4,4,0
250070417,20,8,2,6,0
250092668,20,6,4,2,17
250132831,20,6,3,3,3
250077679,20,4,2,2,9
250067630,20,4,1,3,9
250161248,20,3,2,1,11
250200308,20,2,1,1,19
250123695,20,2,1,1,6
250181680,19,11,6,5,17
250053044,19,8,4,4,15
250176201,19,6,3,3,20
250004363,19,6,2,4,7
250196588,19,6,1,5,5
250136465,19,5,3,2,6
250128120,19,5,2,3,3
1909917,19,4,2,2,1
250135339,19,4,0,4,1
250172907,19,2,1,1,11
250187221,19,2,0,2,8
250129965,18,19,7,12,5
