id_player,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
250050416,100,19,19,0,0,0,0,1
250138626,100,17,17,0,0,0,0,1
1902445,100,14,14,0,0,0,0,1
250089626,100,13,13,0,0,0,0,2
250169763,100,10,10,0,0,0,0,2
250163186,100,9,9,100,1,1,0,3
250190378,100,9,9,0,0,0,0,1
250193442,100,8,8,0,0,0,1,1
250187067,100,7,7,0,2,0,0,2
250180810,100,6,6,0,0,0,0,1
250176187,100,5,5,0,0,0,0,1
250087431,100,5,5,0,0,0,0,1
250182794,100,4,4,0,0,0,0,1
250199913,100,3,3,0,1,0,1,1
250168996,100,3,3,0,0,0,0,1
250187793,100,3,3,0,0,0,0,1
250138999,100,3,3,0,0,0,0,1
250128391,100,3,3,0,0,0,0,1
250189107,100,3,3,0,0,0,0,1
250154309,100,3,3,0,0,0,0,1
250165221,100,2,2,0,0,0,0,1
250054393,100,2,2,0,0,0,0,1
250172594,100,2,2,0,0,0,0,1
250133903,100,2,2,0,0,0,0,1
250174602,100,1,1,0,0,0,0,1
250090398,100,1,1,0,0,0,0,1
250081341,100,1,1,0,0,0,0,1
250086709,98.5,36,35,0,1,0,1,2
250162325,98.25,357,352,0,1,0,1,4
250014636,98,61,59,22.23,9,2,4,2
250200308,97.5,200,194,0,0,0,4,4
250064233,97.5,188,184,0,1,0,1,2
250042329,97.5,50,48,50,2,1,1,2
250079545,97,307,297,0,0,0,4,4
250094540,97,189,183,0,0,0,3,2
250132195,97,95,87,33.34,6,2,0,3
250132322,97,70,66,0,0,0,1,2
250136445,97,30,29,0,0,0,1,1
250122983,96.75,309,298,0,1,0,2,4
250114167,96.67,50,48,0,2,0,0,3
250064064,96.5,381,368,0,1,0,7,4
250028705,96.5,47,45,0,0,0,0,2
250181428,96.5,17,16,0,1,0,0,2
250139101,96.34,17,16,66.67,3,2,3,3
250174126,96.25,396,383,0,0,0,4,4
250127284,96.25,270,260,100,1,1,2,4
250121294,96,173,166,0,3,0,6,4
250112803,96,135,130,0,1,0,5,4
250089225,96,133,127,0,0,0,1,3
250023551,96,119,114,0,0,0,1,2
250132810,96,79,76,0,0,0,3,2
250089688,96,49,47,0,0,0,1,1
250176491,96,24,23,0,0,0,1,1
250055660,95.75,265,254,50,2,1,2,4
250129446,95.75,220,209,0,0,0,5,4
250085369,95.5,337,320,0,0,0,4,4
250163777,95.5,161,155,0,1,0,1,2
250089824,95.5,34,32,0,0,0,0,2
250079677,95.34,173,164,0,0,0,4,3
250058220,95.34,145,138,0,0,0,4,3
250065413,95.34,126,118,50,2,1,1,3
250196709,95.25,278,266,0,3,0,20,4
250005335,95,237,225,30.77,13,4,3,4
250017040,95,232,222,0,0,0,6,4
250172907,95,174,165,0,0,0,2,3
250041781,95,168,161,0,1,0,1,2
250182606,95,57,54,0,0,0,3,1
250028211,94.75,242,228,0,0,0,7,4
250128270,94.67,83,79,50,2,1,2,3
250067630,94.5,298,283,0,1,0,7,4
250189506,94.5,252,239,0,0,0,5,4
250121218,94.5,244,232,0,0,0,11,4
102420,94.5,175,166,0,0,0,10,4
250061589,94.5,11,10,0,1,0,1,2
250010223,94.34,54,50,33.34,3,1,0,3
250193531,94.34,38,35,100,1,1,1,3
250101284,94.25,173,161,0,2,0,7,4
250161248,94,214,200,100,1,1,3,4
250091198,94,156,148,0,0,0,3,3
250066747,94,150,141,66.67,3,2,5,3
250105244,94,137,127,0,1,0,4,4
250027008,94,87,82,0,1,0,0,1
250056861,94,16,15,0,3,0,0,1
250127024,94,16,15,0,0,0,0,1
250014709,93.75,254,238,0,4,0,5,4
250176201,93.75,233,219,0,0,0,5,4
250087118,93.75,207,194,0,0,0,4,4
250067295,93.67,133,126,0,0,0,2,3
250101238,93.67,128,117,0,1,0,2,3
50327423,93.67,93,89,0,0,0,0,3
250138653,93.67,72,68,0,2,0,2,3
50327420,93.5,284,265,0,0,0,10,4
250128120,93.5,271,252,11.12,9,1,7,4
250117511,93.5,46,43,0,0,0,1,2
250169685,93.34,96,90,0,0,0,1,3
250153701,93.34,19,17,0,0,0,0,3
250139207,93.25,269,251,50,2,1,1,4
250101444,93.25,248,231,62.5,8,5,7,4
250164991,93.25,239,222,0,1,0,9,4
250065301,93.25,209,197,0,7,0,4,4
250106709,93.25,160,151,0,0,0,10,4
250132399,93,225,210,100,1,1,7,4
250063505,93,216,201,0,0,0,4,3
250091013,93,213,198,0,0,0,6,4
250139010,93,169,158,0,0,0,3,3
250129343,93,55,51,33.34,9,3,4,1
250180309,93,30,28,0,1,0,0,1
250196664,93,14,13,0,0,0,0,2
250010259,93,14,13,0,0,0,0,1
250194573,93,13,12,0,0,0,0,2
250174149,92.67,179,166,0,0,0,4,3
50327428,92.67,165,155,0,0,0,6,3
250144858,92.67,126,118,0,2,0,2,3
250176453,92.5,253,238,0,0,0,6,4
250200313,92.5,104,97,0,1,0,3,4
250073809,92.5,53,49,0,0,0,3,2
250185976,92.5,14,12,0,3,0,0,2
250145803,92.34,178,164,28.58,14,4,0,3
250136464,92.34,165,153,0,0,0,2,3
250124169,92.34,89,81,50,4,2,0,3
