id_player,distance_covered(km/h),top_speed,minutes_played,matches_appareance
250016833,43.71,30.35,360,4
250105927,41.94,34.55,360,4
250121533,38.39,35.47,360,4
250121294,46.61,32.26,360,4
250160436,44.67,33.39,360,4
250028211,39.28,31.7,360,4
250123677,46.72,33.97,360,4
250055663,37.94,32.48,360,4
250064188,46.53,29.99,360,4
250088061,44.88,36.55,360,4
250189506,44.37,32.14,360,4
250106969,43.79,31.57,360,4
50327420,37.76,34.92,360,4
250070417,49.69,32.23,360,4
250096309,43.39,31.61,360,4
250129965,47.3,29.28,360,4
250004363,43.66,32.02,360,4
250139207,44.24,32.53,360,4
250134304,43.12,34.39,360,4
250127492,42.47,32.29,360,4
250189363,42.36,32.14,360,4
250052554,42.09,32.47,360,4
250134856,41.2,32.85,360,4
250092668,40.4,32.74,360,4
250158901,38.97,29.82,360,4
250136465,38.83,35.36,360,4
250014042,50.46,29.71,360,4
250188474,48.36,32.62,360,4
250134536,47.8,31.14,360,4
250112217,47.05,29.08,360,4
250101557,46.86,31.36,360,4
250187672,46.55,35.56,360,4
250065419,46.39,33.01,360,4
250025791,46.33,30.17,360,4
250014709,45.92,32.82,360,4
250128120,44.59,35.6,360,4
250163454,44.4,33.25,360,4
250123695,44.21,31.3,360,4
250116734,44.19,33.62,360,4
250113001,44.1,31.7,360,4
250102868,43.69,32.82,360,4
250122983,43.59,32.51,360,4
250153945,43.29,33.31,360,4
250079545,43.24,34.27,360,4
250064444,43.12,33.81,360,4
250055660,43.11,33.8,360,4
250077679,43.07,33.66,360,4
250064064,42.98,33.04,360,4
250132401,42.89,32.37,360,4
250121149,42.51,33.23,360,4
250068808,42.41,31.0,360,4
250051754,42.31,32.08,360,4
250053044,42.09,32.27,360,4
250087118,41.97,33.46,360,4
250188247,41.49,32.9,360,4
250174126,41.47,32.46,360,4
250131901,41.21,33.28,360,4
250130786,40.68,33.29,360,4
250127439,40.61,32.79,360,4
250076126,40.37,34.79,360,4
250131541,39.15,33.03,360,4
250000679,39.11,31.25,360,4
250158476,38.6,32.43,360,4
250135672,38.59,32.48,360,4
250017040,38.44,30.16,360,4
250176201,38.42,31.16,360,4
250061721,37.24,33.96,360,4
250121218,37.07,32.26,360,4
250016616,36.97,31.92,360,4
250171278,25.36,27.59,360,4
102420,23.21,24.09,360,4
250006714,22.1,26.53,360,4
250063980,21.67,26.7,360,4
98078,21.18,23.62,360,4
250121017,20.88,25.77,360,4
250087102,20.78,23.2,360,4
250105818,20.74,27.01,360,4
250012069,19.96,24.14,360,4
250124006,19.89,22.6,360,4
97746,19.84,21.24,360,4
250135068,19.66,24.81,360,4
250123304,19.64,22.24,360,4
250105612,19.02,29.6,360,4
250157134,18.72,23.35,360,4
74954,18.61,22.89,360,4
250040573,18.15,27.16,360,4
250113444,17.81,22.68,360,4
250085475,17.81,23.12,360,4
250087938,47.57,31.92,359,4
250172672,46.79,32.28,359,4
250090766,43.57,32.31,359,4
250112978,45.28,32.04,359,4
250188511,41.51,31.68,359,4
250091013,38.78,33.51,358,4
250040471,41.06,31.45,354,4
250023097,47.03,30.59,354,4
250067630,38.41,35.17,354,4
250079003,45.33,31.21,353,4
250130406,42.93,34.52,352,4
250096954,39.82,35.55,351,4
250119181,46.69,31.6,349,4
104733,34.38,31.89,349,4
250112122,42.91,32.9,346,4
250118964,43.64,31.16,345,4
250132399,42.14,33.13,345,4
250169706,43.92,35.39,344,4
250118504,43.38,33.41,344,4
250181680,39.07,34.57,343,4
250098471,39.24,31.96,342,4
250139445,45.62,32.1,341,4
250042422,44.35,32.38,341,4
250005343,41.76,29.45,341,4
250137390,39.27,33.88,340,4
250064232,43.65,32.5,340,4
250169730,39.36,32.99,340,4
250153349,39.28,32.98,339,4
250101727,41.49,29.61,338,4
250013022,38.5,34.17,338,4
250132407,38.38,32.29,337,4
250097909,39.78,31.95,336,4
250130234,46.27,33.46,336,4
250125538,37.33,35.03,336,4
250162325,40.12,34.07,335,4
250153849,47.16,32.44,334,4
250108215,39.57,32.41,334,4
250128377,37.99,32.87,333,4
250052469,37.17,34.54,332,4
250046522,43.01,33.71,332,4
250161248,39.0,30.14,332,4
250085751,38.35,30.59,332,4
250177886,41.76,33.68,331,4
250085369,36.0,33.28,331,4
250176450,35.83,31.71,330,4
250196709,43.43,30.55,330,4
250096698,44.55,33.53,329,4
250056159,41.01,31.65,329,4
250110734,42.75,32.25,328,4
250102866,41.63,30.13,327,4
250169764,39.13,33.07,327,4
250113211,38.54,32.52,325,4
250168990,39.42,31.69,325,4
250134138,36.75,35.27,324,4
250130414,45.03,31.89,323,4
250103758,33.95,34.86,321,4
250064252,39.53,30.6,321,4
250042780,18.77,26.4,321,4
250124460,39.01,33.24,320,4
250076357,35.8,34.14,320,4
250002096,35.21,30.59,318,4
250089228,33.47,35.59,317,4
250099180,38.47,32.25,316,4
250028715,38.52,31.23,315,4
250101284,36.19,35.23,315,4
250106709,35.96,32.09,315,4
97923,21.67,24.91,315,4
250112880,38.69,33.37,314,4
250019498,38.67,30.89,314,4
250099671,39.39,32.04,314,4
250041770,37.24,31.99,312,4
250091290,40.63,35.14,310,4
250064446,38.69,31.19,308,4
250157930,37.83,33.14,308,4
250167111,37.32,34.36,308,4
250146674,38.68,32.63,307,4
250200228,42.82,32.65,307,4
250121132,38.1,32.89,307,4
250140940,37.46,32.09,305,4
250163623,40.07,33.82,305,4
250187759,38.49,34.32,305,4
250061027,43.49,30.42,304,4
250101534,38.33,32.9,303,4
250099258,32.04,34.29,303,4
250196712,33.29,34.34,303,4
250127111,39.71,33.84,302,4
250171301,38.22,31.66,302,4
250076574,30.06,35.67,302,4
250174822,33.95,34.39,302,4
250086316,37.22,33.23,302,4
250171055,36.82,34.16,300,4
250176453,34.68,31.77,300,4
250113276,35.31,35.38,297,4
250163786,36.84,32.98,297,4
250058258,32.75,33.07,295,4
250194673,34.0,30.59,294,4
250051291,18.97,25.51,291,4
250143693,39.91,31.42,290,4
250128255,34.69,32.11,290,4
250106148,35.09,35.94,289,4
250118391,33.78,32.3,288,4
250004721,38.33,31.34,288,4
250129446,34.04,32.1,287,4
250107477,33.58,32.38,286,4
250112690,34.49,33.48,285,4
250017824,35.26,33.52,284,4
250112803,30.17,33.37,284,4
250081207,37.28,29.25,283,4
250104066,36.85,33.35,282,4
250112969,40.07,32.37,282,4
250113993,33.39,33.37,282,4
250121965,29.84,34.24,282,4
250080553,32.13,32.12,281,4
250169705,36.56,30.55,280,4
250172668,34.09,34.29,280,4
250032786,33.72,30.57,278,4
250023009,36.47,32.84,276,4
250027780,33.62,32.3,276,4
250200308,32.21,33.21,276,4
250112186,29.85,34.77,276,4
250127284,33.42,33.15,275,4
250164991,38.11,31.7,274,4
250196588,36.09,29.48,272,4
250198240,32.83,33.54,272,4
250104075,29.23,31.78,272,4
250064274,26.62,32.9,271,4
250041626,31.71,32.9,271,4
250081921,31.87,31.81,271,4
250019573,31.19,31.59,271,4
103335,31.08,30.32,271,4
250116951,30.6,32.56,271,4
250145803,32.3,35.4,270,3
250132323,27.77,35.21,270,3
250043066,30.48,31.08,270,3
250063505,30.28,32.63,270,3
250081553,37.07,31.64,270,3
250083732,36.13,32.35,270,3
250148830,31.26,32.09,270,3
250174149,30.43,33.5,270,3
250126449,30.08,33.5,270,3
250117410,29.89,35.05,270,3
250196586,29.84,31.19,270,3
250124068,29.54,35.09,270,3
250160568,28.92,33.25,270,3
250081721,18.16,25.87,270,3
250069832,15.94,22.23,270,3
1907188,15.87,24.57,270,3
250101144,15.31,26.29,270,3
250066131,15.02,23.1,270,3
250078922,14.27,25.15,270,3
250102035,36.02,32.46,269,4
250081223,32.85,31.09,269,4
250115192,34.21,33.43,269,4
250119677,31.69,33.16,268,4
250135416,31.41,32.91,268,3
250103243,30.81,31.68,267,3
250112974,30.56,31.79,266,4
250079677,31.14,32.51,266,3
250078012,34.4,32.91,265,4
250135339,36.05,31.63,265,3
250076631,33.27,31.98,264,4
250138382,29.77,33.85,264,3
250200313,28.72,32.51,263,4
250171283,34.33,31.4,263,3
250129341,36.06,30.1,262,3
250142271,36.22,31.69,261,4
250173126,33.36,32.15,261,4
250122213,33.59,34.06,259,4
250064027,31.48,30.49,259,4
250066886,29.31,33.69,259,3
250024456,30.77,33.72,258,4
1905153,30.49,31.78,258,4
250086037,31.18,31.13,258,4
250096849,30.23,33.16,257,4
250065301,34.55,30.63,257,4
250078593,34.48,30.83,257,3
250139010,28.96,31.22,257,3
250092517,32.24,32.11,256,3
1909917,37.39,29.43,255,4
250129746,33.23,32.98,255,4
250177497,31.75,33.65,254,4
250105717,30.08,34.44,253,3
250106939,28.78,31.84,252,3
