team_id,country,team,ranking_matchday4
50138,Italy,FC Internazionale Milano,5
50124,Spain,Atlético de Madrid,23
50111,Austria,SK Sturm Graz,33
52816,Italy,Atalanta BC,9
50050,Scotland,Celtic FC,15
52969,Italy,Bologna FC 1909,31
52797,Slovakia,ŠK Slovan Bratislava,36
50147,Portugal,SL Benfica,19
2602798,Spain,Girona FC,29
7889,England,Liverpool FC,1
2603790,Germany,RB Leipzig,32
50107,Germany,VfB Stuttgart,27
50033,Czechia,AC Sparta Praha,26
50080,Spain,FC Barcelona,6
52683,England,Aston Villa FC,8
50023,France,AS Monaco,3
50058,Italy,AC Milan,20
2601306,France,Stade Brestois 29,4
50031,Switzerland,BSC Young Boys,34
50062,Netherlands,PSV Eindhoven,24
52747,France,Paris Saint-Germain,25
50109,Germany,Bayer 04 Leverkusen,13
52707,Ukraine,FC Shakhtar Donetsk,28
50051,Spain,Real Madrid C.F.,18
50149,Portugal,Sporting Clube de Portugal,2
52758,Germany,Borussia Dortmund,7
75797,France,LOSC Lille,14
50069,Serbia,FK Crvena Zvezda,35
50030,Austria,FC Salzburg,30
50139,Italy,Juventus,11
52749,Netherlands,Feyenoord,21
50043,Belgium,Club Brugge KV,22
50037,Germany,FC Bayern München,17
50164,Croatia,GNK Dinamo,16
52919,England,Manchester City,10
52280,England,Arsenal FC,12
